model,roc_auc,average_precision,prevalence
baseline,0.5,0.09865023269849008,0.09865023269849008
full,0.7336122837659845,0.3372022357711348,0.09865023269849008
reduced,0.9527012511067804,0.7261925386071701,0.09865023269849008
