term,effect_type,coef_logit,std_err,z_value,p_value,odds_ratio,ci_low_or,ci_high_or
"C(_combo, Sum)[S.diamond | closeness]",method,-1.2692074282604509,0.06008788818566182,-21.122516809690598,4.939213582265049e-99,0.28105428921367526,0.24982926735294825,0.31618198429012856
"C(_combo, Sum)[S.diamond | degree]",method,-0.5039124725346018,0.052208044238031125,-9.652008227642535,4.820236867444407e-22,0.6041622613330951,0.5453986090279208,0.6692573687888392
"C(_combo, Sum)[S.diamond | trustrank]",method,0.22946920934224163,0.046948075543118126,4.887723441006483,1.0200869045835618e-06,1.257932134069167,1.1473474031832147,1.3791753478794626
"C(_combo, Sum)[S.domino | closeness]",method,-0.34723182400331476,0.053567928249837735,-6.4820842498116695,9.046409715243311e-11,0.7066414928082172,0.6362122568722196,0.7848673048411834
"C(_combo, Sum)[S.domino | degree]",method,-0.10642609756335707,0.05163367827390795,-2.0611759828301324,0.039286253949719546,0.8990414870627399,0.8125106579644708,0.9947876837516225
"C(_combo, Sum)[S.domino | trustrank]",method,-0.0435026730793481,0.051166597862703445,-0.8502162523308637,0.39520486753648865,0.9574299948012,0.866071888187015,1.0584250654572505
"C(_combo, Sum)[S.firstneighbor | closeness]",method,-0.13170674296089935,0.07162858818393981,-1.8387454827768048,0.06595263022763513,0.876598025931044,0.76178097723278,1.0087205142054805
"C(_combo, Sum)[S.firstneighbor | degree]",method,-0.014568477546956667,0.07037262809011652,-0.20701909168861546,0.8359949484520677,0.9855371292566056,0.8585620756948225,1.1312908648536626
"C(_combo, Sum)[S.firstneighbor | trustrank]",method,0.6448057795142345,0.06397532774407291,10.078975790381525,6.843573864936924e-24,1.905616883491345,1.681046374067645,2.160187703721932
"C(_combo, Sum)[S.no_tool | closeness]",method,0.2775501215786817,0.046398261570540014,5.981907773779796,2.2053913948009875e-09,1.3198922725702789,1.2051586282202322,1.445548801956035
"C(_combo, Sum)[S.no_tool | degree]",method,0.5654769218919812,0.0448817437396356,12.59926363762471,2.131249070889129e-36,1.7602871020161568,1.6120558995105732,1.9221484084175935
"C(_combo, Sum)[S.no_tool | trustrank]",method,0.528299784940304,0.04506458128854782,11.72317083249057,9.697311649820357e-32,1.6960462125093116,1.5526681352452238,1.8526642555930755
