model,threshold,TP,FP,TN,FN,accuracy,precision,recall_pos,recall_neg,f1,npv,balanced_accuracy,prevalence,pred_positive_rate
reduced,0.5,17564,4825,68205,4791,0.8991875032761965,0.7844923846531779,0.7856855289644374,0.9339312611255648,0.7850885034865009,0.9343662666447476,0.8598083950450011,0.2343659904597159,0.23472244063532002
full,0.5,17538,4355,68675,4817,0.9038423232164386,0.801077970127438,0.7845224781927981,0.9403669724770642,0.7927137949737841,0.934455450933435,0.8624447253349312,0.2343659904597159,0.2295224616029774
