model,roc_auc,average_precision,prevalence
baseline,0.5,0.09865023269849008,0.09865023269849008
full,0.7731368832610881,0.39312279000133193,0.09865023269849008
reduced,0.9527012511067804,0.7261925386071701,0.09865023269849008
