model,roc_auc,average_precision,prevalence
baseline,0.5,0.09865023269849008,0.09865023269849008
full,0.5773129902876,0.12077485272334437,0.09865023269849008
reduced,0.5351811544751041,0.10712345378337398,0.09865023269849008
